"pathway" "deceacelist"
"906" "Varicocele" ""
"907" "Adenomyoma" "Mismatch repair;Ovarian Infertility Genes"
"908" "Sarcoma, Endometrial Stromal" "Osteoblast Signaling"
"909" "Rotavirus Infections" ""
"910" "Neoplasms, Neuroepithelial" ""
"911" "Leukemia, Plasma Cell" ""
"912" "Sialadenitis" ""
"913" "Nevus, Epithelioid and Spindle Cell" "Estrogen signaling pathway;MAPK Cascade;Serotonin Receptor 4/6/7 and NR3C Signaling"
"914" "Neuroectodermal Tumor, Melanotic" "Hypertrophy Model"
"915" "Cryptosporidiosis" ""
"916" "Dental Enamel Hypoplasia" "Aryl Hydrocarbon Receptor;pilocytic astrocytoma;Signaling Pathways in Glioblastoma"
"917" "Paracoccidioidomycosis" "Effects of Nitric Oxide"
"918" "Heart Neoplasms" "AMPK Signaling;Wnt Signaling Pathway Netpath;TOR Signaling;Integrated Breast Cancer Pathway;Signaling Pathways in Glioblastoma"
"919" "Anemia, Pernicious" "Gastric acid production;Vitamin B12 Metabolism"
"920" "Somatostatinoma" ""
"921" "Encephalomalacia" "Fluoropyrimidine Activity;Selenium Micronutrient Network;Trans-sulfuration and one carbon metabolism;One carbon donor;One Carbon Metabolism;Vitamin B12 Metabolism;Glycine Metabolism;Folate-Alcohol and Cancer Pathway;Folate Metabolism"
"922" "Epidermolysis Bullosa Acquisita" "Endochondral Ossification"
"923" "Endodermal Sinus Tumor" "Heart Development"
"924" "Nystagmus, Congenital" ""
"925" "Anthrax" ""
"926" "Neurofibroma, Plexiform" "Focal Adhesion"
"927" "Paragonimiasis" ""
"928" "Tennis Elbow" ""
"929" "Tooth Diseases" ""
"930" "Giant Cell Tumor of Bone" "TP53 Network;Apoptosis"
"931" "Polyradiculoneuropathy, Chronic Inflammatory Demyelinating" ""
"932" "Intestinal Atresia" "Aryl Hydrocarbon Receptor"
"933" "Cystinosis" ""
"934" "Communication Disorders" ""
"935" "Hypertrichosis" ""
"936" "Pulmonary Heart Disease" "Selenium Micronutrient Network;Selenium Metabolism and Selenoproteins"
"937" "Hypophosphatemia, Familial" ""
"938" "Diffuse Cerebral Sclerosis of Schilder" ""
"939" "Glycogen Storage Disease Type III" "Glycogen Metabolism"
"940" "BREAST CANCER" "Angiogenesis;Integrated Cancer pathway;Estrogen signaling pathway;DNA Damage Response (only ATM dependent);TWEAK Signaling Pathway;FAS pathway and Stress induction of HSP regulation;Aryl Hydrocarbon Receptor;Leptin signaling pathway;Interleukin-11 Signaling Pathway;DNA Damage Response;Osteopontin Signaling;TSLP Signaling Pathway;RANKL/RANK Signaling Pathway;Oncostatin M Signaling Pathway;Spinal Cord Injury;ATM Signaling Pathway;Arylhydrocarbon receptor (AhR) signaling pathway;AGE/RAGE pathway;ErbB Signaling Pathway;Integrated Pancreatic Cancer Pathway;Alpha 6 Beta 4 signaling pathway;Integrated Breast Cancer Pathway;Senescence and Autophagy;Signaling Pathways in Glioblastoma;IL-2 Signaling Pathway;FSH signaling pathway"
"941" "Breast Neoplasms" "Angiogenesis;Integrated Cancer pathway;Estrogen signaling pathway;DNA Damage Response (only ATM dependent);TWEAK Signaling Pathway;FAS pathway and Stress induction of HSP regulation;Aryl Hydrocarbon Receptor;Leptin signaling pathway;Interleukin-11 Signaling Pathway;DNA Damage Response;Osteopontin Signaling;TSLP Signaling Pathway;RANKL/RANK Signaling Pathway;Oncostatin M Signaling Pathway;Spinal Cord Injury;ATM Signaling Pathway;Arylhydrocarbon receptor (AhR) signaling pathway;AGE/RAGE pathway;ErbB Signaling Pathway;Integrated Pancreatic Cancer Pathway;Alpha 6 Beta 4 signaling pathway;Integrated Breast Cancer Pathway;Senescence and Autophagy;Signaling Pathways in Glioblastoma;IL-2 Signaling Pathway;FSH signaling pathway"
"942" "Leukodystrophy, Metachromatic" "Monoamine Transport;Serotonin Transporter Activity"
"943" "Canavan Disease" "Alanine and aspartate metabolism"
"944" "Citrullinemia" "Alanine and aspartate metabolism;Urea cycle and metabolism of amino groups"
"945" "Menkes Kinky Hair Syndrome" ""
"946" "Hepatolenticular Degeneration" ""
"947" "Maple Syrup Urine Disease" ""
"948" "Hamartoma Syndrome, Multiple" "Signaling Pathways in Glioblastoma"
"949" "PULMONARY HYPERTENSION, PRIMARY, 1" "Angiogenesis;TGF Beta Signaling Pathway;Heart Development;Integrated Breast Cancer Pathway;BMP Signalling and Regulation"
"950" "Biotinidase Deficiency" ""
"951" "AGAMMAGLOBULINEMIA, X-LINKED" "B Cell Receptor Signaling Pathway;Kit receptor signaling pathway;TSLP Signaling Pathway;IL-5 Signaling Pathway"
"952" "Sudden Infant Death" "SIDS Susceptibility Pathways;Monoamine Transport;Serotonin Transporter Activity;Cytokines and Inflammatory Response"
"953" "Afibrinogenemia" "Blood Clotting Cascade"
"954" "Cytochrome-c Oxidase Deficiency" "Electron Transport Chain"
"955" "OSTEOGENESIS IMPERFECTA, TYPE I" "Osteoblast Signaling;Focal Adhesion;miR-targeted genes in muscle cell - TarBase;Inflammatory Response Pathway;Senescence and Autophagy"
"956" "EHLERS-DANLOS SYNDROME, TYPE I" "Focal Adhesion"
"957" "EHLERS-DANLOS SYNDROME, TYPE III" "Focal Adhesion;Inflammatory Response Pathway"
"958" "Coproporphyria, Hereditary" "Heme Biosynthesis"
"959" "Rubinstein-Taybi Syndrome" "Kit receptor signaling pathway;Angiogenesis;Aryl Hydrocarbon Receptor;SIDS Susceptibility Pathways;TGF Beta Signaling Pathway;IL-4 Signaling Pathway;Notch Signaling Pathway;Androgen receptor signaling pathway;Wnt Signaling Pathway and Pluripotency;IL-6 signaling pathway;Integrated Pancreatic Cancer Pathway"
"960" "RETINITIS PIGMENTOSA 1" ""
"961" "Aggressive Periodontitis" "Allograft Rejection;Cytokines and Inflammatory Response"
"962" "GLAUCOMA, PRIMARY OPEN ANGLE" ""
"963" "PLEUROPULMONARY BLASTOMA" "mRNA Processing;miRNA Biogenesis"
"964" "Myoclonic Epilepsy, Juvenile" ""
"965" "Chondrosarcoma" "Matrix Metalloproteinases;Angiogenesis;Hedgehog Signaling Pathway;Oncostatin M Signaling Pathway;Endochondral Ossification"
"966" "Hemophilia B" "Complement and Coagulation Cascades;Blood Clotting Cascade"
"967" "Autoimmune Lymphoproliferative Syndrome" "Allograft Rejection;FAS pathway and Stress induction of HSP regulation;Alzheimers Disease;DNA Damage Response;Apoptosis Modulation by HSP70;Apoptosis Modulation and Signaling;Apoptosis;miRNA Regulation of DNA Damage Response;Integrated Pancreatic Cancer Pathway;MAPK Signaling Pathway"
"968" "Fructose-1,6-Diphosphatase Deficiency" "Glycolysis and Gluconeogenesis"
"969" "Protoporphyria, Erythropoietic" "Fluoropyrimidine Activity;Heme Biosynthesis;Irinotecan Pathway"
"970" "Craniofacial Dysostosis" "Angiogenesis;MicroRNAs in cardiomyocyte hypertrophy;Regulation of Actin Cytoskeleton;Signaling Pathways in Glioblastoma;Neural Crest Differentiation"
"971" "Ovarian Hyperstimulation Syndrome" ""
"972" "Fucosidosis" ""
"973" "Glycogen Storage Disease Type I" "Glycolysis and Gluconeogenesis;DNA Damage Response (only ATM dependent)"
"974" "MUCOPOLYSACCHARIDOSIS TYPE IVA" ""
"975" "Hypoplastic Left Heart Syndrome" ""
"976" "Pseudohypoparathyroidism" "Estrogen signaling pathway;Thyroxine (Thyroid Hormone) Production;Endothelin Pathways;Serotonin Receptor 4/6/7 and NR3C Signaling"
"977" "AMYLOIDOSIS, FINNISH TYPE" "Regulation of Actin Cytoskeleton;Senescence and Autophagy"
"978" "Tay-Sachs Disease" ""
"979" "Sandhoff Disease" ""
"980" "Diabetes Mellitus, Type 2" "Selenium Micronutrient Network;Adipogenesis;Statin Pathway;ACE Inhibitor Pathway;Vitamin B12 Metabolism;Type II diabetes mellitus;Folate Metabolism"
"981" "Polycythemia Vera" ""
"982" "Long QT Syndrome" "TarBasePathway;SIDS Susceptibility Pathways"
"983" "Jervell-Lange Nielsen Syndrome" "TarBasePathway"
"984" "Pallister-Hall Syndrome" "Hedgehog Signaling Pathway;Endochondral Ossification"
"985" "Piebaldism" "Kit receptor signaling pathway"
"986" "Lecithin Acyltransferase Deficiency" "Statin Pathway"
"987" "Pick Disease of the Brain" ""
"988" "Mucopolysaccharidosis III" ""
"989" "Neurofibromatoses" "Integrated Cancer pathway;Integrated Breast Cancer Pathway;Signaling Pathways in Glioblastoma"
"990" "Neurofibromatosis 1" "Integrated Cancer pathway;Integrated Breast Cancer Pathway;Signaling Pathways in Glioblastoma"
"991" "Pantothenate Kinase-Associated Neurodegeneration" ""
"992" "Coloboma" ""
"993" "Refsum Disease" ""
"994" "Clubfoot" ""
"995" "AXENFELD-RIEGER SYNDROME, TYPE 1" "Heart Development"
"996" "EHLERS-DANLOS SYNDROME, TYPE VI" ""
"997" "PURINE NUCLEOSIDE PHOSPHORYLASE DEFICIENCY" ""
"998" "Creutzfeldt-Jakob Syndrome" ""
"999" "Kallmann Syndrome" ""
"1000" "LEOPARD Syndrome" "B Cell Receptor Signaling Pathway;Kit receptor signaling pathway;Serotonin Receptor 2 and ELK-SRF/GATA4 signaling;BDNF signaling pathway;Focal Adhesion;TCR Signaling Pathway;Signaling of Hepatocyte Growth Factor Receptor;IL-3 Signaling Pathway;Leptin signaling pathway;Interleukin-11 Signaling Pathway;Insulin Signaling;Oncostatin M Signaling Pathway;IL-5 Signaling Pathway;EGF/EGFR Signaling Pathway;PDGF Pathway;Integrated Pancreatic Cancer Pathway;Senescence and Autophagy;pilocytic astrocytoma;Signaling Pathways in Glioblastoma;IL-2 Signaling Pathway"
"1001" "Glycogen Storage Disease Type V" ""
"1002" "FUNDUS ALBIPUNCTATUS" "Vitamin A and Carotenoid Metabolism"
"1003" "Anemia, Diamond-Blackfan" "Cytoplasmic Ribosomal Proteins"
"1004" "Cleidocranial Dysplasia" "TGF Beta Signaling Pathway;Interleukin-11 Signaling Pathway;Androgen receptor signaling pathway;Endochondral Ossification;BMP Signalling and Regulation"
"1005" "Malignant Hyperthermia" "Calcium Regulation in the Cardiac Cell"
"1006" "Myopathy, Central Core" "Calcium Regulation in the Cardiac Cell;Myometrial Relaxation and Contraction Pathways"
"1007" "Lewy Body Disease" "Alzheimers Disease;Parkinsons Disease Pathway;Dopamine metabolism;Biogenic Amine Synthesis"
"1008" "Ichthyosis, X-Linked" "Estrogen metabolism;Arylhydrocarbon receptor (AhR) signaling pathway"
"1009" "ICHTHYOSIS, LAMELLAR, 1" ""
"1010" "IRON-REFRACTORY IRON DEFICIENCY ANEMIA" ""
"1011" "SAETHRE-CHOTZEN SYNDROME" "Neural Crest Differentiation"
"1012" "Crigler-Najjar Syndrome" "Nicotine Metabolism;Estrogen metabolism;Metapathway biotransformation;Tamoxifen metabolism;Glucuronidation;Codeine and Morphine Metabolism;Irinotecan Pathway;Arylamine metabolism;Arylhydrocarbon receptor (AhR) signaling pathway"
"1013" "Werner Syndrome" ""
"1014" "Lung Neoplasms" "Estrogen metabolism;Fluoropyrimidine Activity;Nanoparticle-mediated activation of receptor signaling;Nuclear Receptors in Lipid Metabolism and Toxicity;Angiogenesis;Integrated Cancer pathway;Corticotropin-releasing hormone;Estrogen signaling pathway;DNA Damage Response (only ATM dependent);Vitamin D Metabolism;Mismatch repair;Aflatoxin B1 metabolism;TWEAK Signaling Pathway;FAS pathway and Stress induction of HSP regulation;Quercetin and Nf-kB/ AP-1 induced cell apoptosis;Aryl Hydrocarbon Receptor;Irinotecan Pathway;Signaling of Hepatocyte Growth Factor Receptor;TGF Beta Signaling Pathway;Leptin signaling pathway;Osteopontin Signaling;Oxidative Stress;Nifedipine Activity;Oncostatin M Signaling Pathway;Spinal Cord Injury;Prostaglandin Synthesis and Regulation;Apoptosis Modulation by HSP70;Benzo(a)pyrene metabolism;Physiological and Pathological Hypertrophy  of the Heart;Apoptosis Modulation and Signaling;TP53 Network;Apoptosis;Arylhydrocarbon receptor (AhR) signaling pathway;AGE/RAGE pathway;ErbB Signaling Pathway;TNF alpha Signaling Pathway;IL-6 signaling pathway;Integrated Pancreatic Cancer Pathway;Integrated Breast Cancer Pathway;Senescence and Autophagy;MAPK Cascade;Signaling Pathways in Glioblastoma;Transcriptional activation by NRF2;IL-2 Signaling Pathway"
"1015" "Psychomotor Disorders" ""
"1016" "Hyperlipoproteinemia Type II" "Phase I biotransformations, non P450;Selenium Micronutrient Network;Statin Pathway;Aryl Hydrocarbon Receptor;Vitamin B12 Metabolism;Vitamin A and Carotenoid Metabolism;Folate Metabolism"
"1017" "Kidney Failure, Chronic" "Selenium Micronutrient Network;Adipogenesis;Allograft Rejection;TWEAK Signaling Pathway;Aryl Hydrocarbon Receptor;ACE Inhibitor Pathway;Osteopontin Signaling;Spinal Cord Injury;Vitamin B12 Metabolism;SREBF and miR33 in cholesterol and lipid homeostasis;Cytokines and Inflammatory Response;Folate Metabolism"
"1018" "Carcinoma, Squamous Cell" "Nanoparticle-mediated activation of receptor signaling;Matrix Metalloproteinases;Angiogenesis;Integrated Cancer pathway;DNA Damage Response (only ATM dependent);Focal Adhesion;TWEAK Signaling Pathway;Aryl Hydrocarbon Receptor;Signaling of Hepatocyte Growth Factor Receptor;TGF Beta Signaling Pathway;Leptin signaling pathway;DNA Damage Response;Osteopontin Signaling;TSLP Signaling Pathway;Oncostatin M Signaling Pathway;ATM Signaling Pathway;Benzo(a)pyrene metabolism;TP53 Network;Apoptosis;Fatty Acid Omega Oxidation;Arylhydrocarbon receptor (AhR) signaling pathway;AGE/RAGE pathway;ErbB Signaling Pathway;Integrated Pancreatic Cancer Pathway;Alpha 6 Beta 4 signaling pathway;TSH signaling pathway;Integrated Breast Cancer Pathway;Senescence and Autophagy;Signaling Pathways in Glioblastoma;Cytokines and Inflammatory Response"
"1019" "Substance-Related Disorders" "Monoamine GPCRs;Hypothetical Network for Drug Addiction"
"1020" "Xanthomatosis" "Statin Pathway"
"1021" "Liver Neoplasms" "Estrogen metabolism;Nanoparticle-mediated activation of receptor signaling;Nuclear Receptors in Lipid Metabolism and Toxicity;Tamoxifen metabolism;Wnt Signaling Pathway Netpath;Adipogenesis;Estrogen signaling pathway;DNA Damage Response (only ATM dependent);Aflatoxin B1 metabolism;TWEAK Signaling Pathway;Aryl Hydrocarbon Receptor;Codeine and Morphine Metabolism;Signaling of Hepatocyte Growth Factor Receptor;TGF Beta Signaling Pathway;IL-3 Signaling Pathway;Leptin signaling pathway;Oxidative Stress;Oncostatin M Signaling Pathway;Physiological and Pathological Hypertrophy  of the Heart;IL-5 Signaling Pathway;TP53 Network;Fatty Acid Omega Oxidation;Arylhydrocarbon receptor (AhR) signaling pathway;ErbB Signaling Pathway;PDGF Pathway;Integrated Pancreatic Cancer Pathway;Alpha 6 Beta 4 signaling pathway;TSH signaling pathway;Tryptophan metabolism;Senescence and Autophagy;MAPK Cascade;Signaling Pathways in Glioblastoma;TFs Regulate miRNAs related to cardiac hypertrophy;Cytokines and Inflammatory Response;Folate-Alcohol and Cancer Pathway;IL-2 Signaling Pathway;FSH signaling pathway"
"1022" "Coronary Restenosis" "Toll-like receptor signaling pathway;Selenium Micronutrient Network;ACE Inhibitor Pathway;One carbon donor;Oncostatin M Signaling Pathway;Vitamin B12 Metabolism;Regulation of toll-like receptor signaling pathway;Type II diabetes mellitus;Folate Metabolism"
"1023" "Diabetic Nephropathies" "Angiogenesis;Selenium Micronutrient Network;Adipogenesis;TWEAK Signaling Pathway;Statin Pathway;Quercetin and Nf-kB/ AP-1 induced cell apoptosis;TGF Beta Signaling Pathway;ACE Inhibitor Pathway;Oxidative Stress;Spinal Cord Injury;Vitamin B12 Metabolism;Monoamine Transport;AGE/RAGE pathway;Folate Metabolism"
"1024" "Heart Failure" "Angiogenesis;Selenium Micronutrient Network;Monoamine GPCRs;TWEAK Signaling Pathway;Alzheimers Disease;ACE Inhibitor Pathway;Cardiac Progenitor Differentiation;MicroRNAs in cardiomyocyte hypertrophy;Spinal Cord Injury;Vitamin B12 Metabolism;Physiological and Pathological Hypertrophy  of the Heart;Endochondral Ossification;IL-6 signaling pathway;Senescence and Autophagy;Endothelin Pathways;Cytokines and Inflammatory Response;Folate Metabolism;Effects of Nitric Oxide"
"1025" "Hypertension, Pulmonary" "Allograft Rejection;ACE Inhibitor Pathway;Spinal Cord Injury;BMP Signalling and Regulation"
"1026" "Stroke" "Complement and Coagulation Cascades;Selenium Micronutrient Network;Blood Clotting Cascade;Eicosanoid Synthesis;ACE Inhibitor Pathway;Spinal Cord Injury;Vitamin B12 Metabolism;Senescence and Autophagy;Cytokines and Inflammatory Response;Folate Metabolism"
"1027" "Liver Diseases" "Matrix Metalloproteinases;Nuclear Receptors in Lipid Metabolism and Toxicity;Spinal Cord Injury;Arylhydrocarbon receptor (AhR) signaling pathway;Cytokines and Inflammatory Response"
"1028" "Dysostoses" ""
"1029" "Dystonia" "Nicotine Activity on Dopaminergic Neurons"
"1030" "Heart Septal Defects, Atrial" "Cardiac Progenitor Differentiation;Heart Development"
"1031" "Refractive Errors" "Cardiac Progenitor Differentiation"
"1032" "Diabetes, Gestational" "Selenium Micronutrient Network;Adipogenesis;Allograft Rejection;Spinal Cord Injury;Vitamin B12 Metabolism;Type II diabetes mellitus;Cytokines and Inflammatory Response;Folate Metabolism"
"1033" "Metabolic Syndrome X" "Adipogenesis;Statin Pathway;ACE Inhibitor Pathway;Vitamin B12 Metabolism;Folate Metabolism"
"1034" "ANGIOMA SERPIGINOSUM, X-LINKED" ""
"1035" "Aortic Aneurysm, Abdominal" "Matrix Metalloproteinases;Adipogenesis;ACE Inhibitor Pathway;Spinal Cord Injury;Vitamin B12 Metabolism;IL-6 signaling pathway"
"1036" "Diabetic Retinopathy" "Angiogenesis;Selenium Micronutrient Network;Adipogenesis;TWEAK Signaling Pathway;TGF Beta Signaling Pathway;ACE Inhibitor Pathway;Oncostatin M Signaling Pathway;Vitamin B12 Metabolism;Folate Metabolism"
"1037" "Glomerulonephritis" "Matrix Metalloproteinases;Toll-like receptor signaling pathway;Selenium Micronutrient Network;Adipogenesis;Allograft Rejection;TWEAK Signaling Pathway;ACE Inhibitor Pathway;TSLP Signaling Pathway;Spinal Cord Injury;Vitamin B12 Metabolism;Hypertrophy Model;Monoamine Transport;Regulation of toll-like receptor signaling pathway;EBV LMP1 signaling;IL-6 signaling pathway;Senescence and Autophagy;Cytokines and Inflammatory Response;Folate Metabolism"
"1038" "Hernia, Hiatal" "Angiogenesis;Adipogenesis;ACE Inhibitor Pathway;Cardiac Progenitor Differentiation;MicroRNAs in cardiomyocyte hypertrophy;Spinal Cord Injury;Endochondral Ossification;Heart Development;Endothelin Pathways"
"1039" "Carcinoma, Pancreatic Ductal" ""
"1040" "Carcinoma, Lobular" ""
"1041" "Cerebellar Diseases" ""
"1042" "Thyroiditis, Autoimmune" "Allograft Rejection;Vitamin D Metabolism;Thyroxine (Thyroid Hormone) Production;Cytokines and Inflammatory Response;Folate Metabolism"
"1043" "Severe Combined Immunodeficiency" ""
"1044" "Skin Diseases" ""
"1045" "Polycystic Ovary Syndrome" "Matrix Metalloproteinases;Adipogenesis;Glucocorticoid & Mineralcorticoid Metabolism;Vitamin B12 Metabolism;Endochondral Ossification;Type II diabetes mellitus;Folate Metabolism"
"1046" "Glomerulonephritis, Membranoproliferative" ""
"1047" "HIV Infections" "Allograft Rejection;Codeine and Morphine Metabolism;Inflammatory Response Pathway;TP53 Network;Apoptosis;Arylhydrocarbon receptor (AhR) signaling pathway;Cytokines and Inflammatory Response"
"1048" "Hypersensitivity" "Type II interferon signaling (IFNG);Toll-like receptor signaling pathway;Selenium Micronutrient Network;Allograft Rejection;Inflammatory Response Pathway;Spinal Cord Injury;Monoamine Transport;Regulation of toll-like receptor signaling pathway;Cytokines and Inflammatory Response;Folate Metabolism"
"1049" "Nephritis" "Spinal Cord Injury"
"1050" "Respiratory Distress Syndrome, Adult" "Complement and Coagulation Cascades;Adipogenesis;Allograft Rejection;TCR Signaling Pathway;ACE Inhibitor Pathway;Spinal Cord Injury;Prostaglandin Synthesis and Regulation;Vitamin B12 Metabolism;Senescence and Autophagy;Cytokines and Inflammatory Response"
"1051" "Uveitis" "Allograft Rejection;Cytokines and Inflammatory Response"
"1052" "HYPOPHOSPHATASIA, CHILDHOOD" "Endochondral Ossification"
"1053" "Hereditary Sensory and Motor Neuropathy" "Neural Crest Differentiation"
"1054" "Carcinoma, Transitional Cell" "Angiogenesis;Integrated Cancer pathway;DNA Damage Response (only ATM dependent);Aryl Hydrocarbon Receptor;DNA Damage Response;Notch Signaling Pathway;G1 to S cell cycle control;Cell Cycle;Apoptosis Modulation by HSP70;Androgen receptor signaling pathway;Apoptosis Modulation and Signaling;TP53 Network;Apoptosis;miRNA Regulation of DNA Damage Response;ErbB Signaling Pathway;Amyotrophic lateral sclerosis (ALS);Nuclear Receptors;Wnt Signaling Pathway and Pluripotency;Integrated Pancreatic Cancer Pathway;Integrated Breast Cancer Pathway;Senescence and Autophagy;Signaling Pathways in Glioblastoma"
"1055" "Stomach Diseases" "Toll-like receptor signaling pathway;Allograft Rejection;Spinal Cord Injury;EBV LMP1 signaling"
"1056" "Digestive System Neoplasms" ""
"1057" "Gastrointestinal Neoplasms" ""
"1058" "Hypercholesterolemia" "Cholesterol Biosynthesis;Nuclear Receptors in Lipid Metabolism and Toxicity;Selenium Micronutrient Network;Adipogenesis;Statin Pathway;SREBP signalling;ACE Inhibitor Pathway;Vitamin B12 Metabolism;SREBF and miR33 in cholesterol and lipid homeostasis;Folate Metabolism"
"1059" "Amyloidosis" "Alzheimers Disease"
"1060" "Carotid Stenosis" "Matrix Metalloproteinases;Selenium Micronutrient Network;Blood Clotting Cascade;Statin Pathway;Vitamin B12 Metabolism;Folate Metabolism"
"1061" "Learning Disorders" "SIDS Susceptibility Pathways;Dopamine metabolism;Biogenic Amine Synthesis"
"1062" "Head and Neck Neoplasms" "EPO Receptor Signaling;Estrogen metabolism;Tamoxifen metabolism;IL-7 Signaling Pathway;Integrated Cancer pathway;Adipogenesis;DNA Damage Response (only ATM dependent);Mismatch repair;Aflatoxin B1 metabolism;Aryl Hydrocarbon Receptor;IL-3 Signaling Pathway;IL-9 Signaling Pathway;DNA Damage Response;TSLP Signaling Pathway;Oncostatin M Signaling Pathway;Spinal Cord Injury;ATM Signaling Pathway;Benzo(a)pyrene metabolism;IL-5 Signaling Pathway;TP53 Network;Apoptosis;Fatty Acid Omega Oxidation;Arylhydrocarbon receptor (AhR) signaling pathway;AGE/RAGE pathway;miRNA Regulation of DNA Damage Response;ErbB Signaling Pathway;Amyotrophic lateral sclerosis (ALS);Integrated Pancreatic Cancer Pathway;Integrated Breast Cancer Pathway;Senescence and Autophagy;Signaling Pathways in Glioblastoma;IL-2 Signaling Pathway"
"1063" "Carcinoma, Basal Cell" "Hedgehog Signaling Pathway;TGF Beta Signaling Pathway"
"1064" "Leukopenia" ""
"1065" "Dermatitis, Atopic" "Type II interferon signaling (IFNG);Toll-like receptor signaling pathway;Allograft Rejection;Cytokines and Inflammatory Response"
"1066" "Shy-Drager Syndrome" "Parkinsons Disease Pathway"
"1067" "Carcinoma, Ductal, Breast" "Angiogenesis;Integrated Cancer pathway;DNA Damage Response;Osteopontin Signaling;ATM Signaling Pathway;Endochondral Ossification;TP53 Network;Integrated Pancreatic Cancer Pathway;Integrated Breast Cancer Pathway;Signaling Pathways in Glioblastoma;Transcriptional activation by NRF2"
"1068" "Lymphoma" "B Cell Receptor Signaling Pathway;EPO Receptor Signaling;Kit receptor signaling pathway;Toll-like receptor signaling pathway;Angiogenesis;IL-7 Signaling Pathway;Integrated Cancer pathway;Allograft Rejection;Estrogen signaling pathway;DNA Damage Response (only ATM dependent);Aflatoxin B1 metabolism;TWEAK Signaling Pathway;FAS pathway and Stress induction of HSP regulation;Quercetin and Nf-kB/ AP-1 induced cell apoptosis;Aryl Hydrocarbon Receptor;TCR Signaling Pathway;Signaling of Hepatocyte Growth Factor Receptor;IL-3 Signaling Pathway;IL-4 Signaling Pathway;Leptin signaling pathway;Interleukin-11 Signaling Pathway;DNA Damage Response;Osteopontin Signaling;TSLP Signaling Pathway;RANKL/RANK Signaling Pathway;G1 to S cell cycle control;Oncostatin M Signaling Pathway;Spinal Cord Injury;Apoptosis Modulation by HSP70;Glycine Metabolism;IL-5 Signaling Pathway;Apoptosis Modulation and Signaling;TP53 Network;Apoptosis;Regulation of toll-like receptor signaling pathway;AGE/RAGE pathway;miRNA Regulation of DNA Damage Response;ErbB Signaling Pathway;PDGF Pathway;TNF alpha Signaling Pathway;IL-6 signaling pathway;Integrated Pancreatic Cancer Pathway;TSH signaling pathway;Integrated Breast Cancer Pathway;MAPK Signaling Pathway;Senescence and Autophagy;Signaling Pathways in Glioblastoma;Cytokines and Inflammatory Response;IL-2 Signaling Pathway"
"1069" "Gallbladder Neoplasms" "Metapathway biotransformation;DNA Damage Response (only ATM dependent);Aflatoxin B1 metabolism;Statin Pathway;TGF Beta Signaling Pathway;Gastric cancer network 2;TP53 Network;Arylhydrocarbon receptor (AhR) signaling pathway;Integrated Pancreatic Cancer Pathway;Senescence and Autophagy;Cytokines and Inflammatory Response"
"1070" "Multiple Myeloma" "B Cell Receptor Signaling Pathway;EPO Receptor Signaling;Type II interferon signaling (IFNG);Kit receptor signaling pathway;Nanoparticle-mediated activation of receptor signaling;Osteoblast Signaling;IL17 signaling pathway;Toll-like receptor signaling pathway;Angiogenesis;IL-7 Signaling Pathway;Integrated Cancer pathway;Allograft Rejection;DNA Damage Response (only ATM dependent);Focal Adhesion;TWEAK Signaling Pathway;FAS pathway and Stress induction of HSP regulation;Quercetin and Nf-kB/ AP-1 induced cell apoptosis;Aryl Hydrocarbon Receptor;TCR Signaling Pathway;Signaling of Hepatocyte Growth Factor Receptor;TGF Beta Signaling Pathway;IL-3 Signaling Pathway;IL-4 Signaling Pathway;Leptin signaling pathway;Interleukin-11 Signaling Pathway;Osteopontin Signaling;TSLP Signaling Pathway;RANKL/RANK Signaling Pathway;Cardiac Progenitor Differentiation;Osteoclast Signaling;Oncostatin M Signaling Pathway;Spinal Cord Injury;Vitamin B12 Metabolism;Apoptosis Modulation and Signaling;Endochondral Ossification;TP53 Network;Apoptosis;Regulation of toll-like receptor signaling pathway;IL-1 signaling pathway;AGE/RAGE pathway;ErbB Signaling Pathway;EBV LMP1 signaling;TNF alpha Signaling Pathway;IL-6 signaling pathway;Integrated Pancreatic Cancer Pathway;TSH signaling pathway;Senescence and Autophagy;Signaling Pathways in Glioblastoma;TFs Regulate miRNAs related to cardiac hypertrophy;Cytokines and Inflammatory Response;IL-2 Signaling Pathway;Folate Metabolism"
"1071" "Sarcoma, Synovial" "Kit receptor signaling pathway;Integrated Cancer pathway;DNA Damage Response (only ATM dependent);Focal Adhesion;Signaling of Hepatocyte Growth Factor Receptor;TP53 Network;Apoptosis;ErbB Signaling Pathway;Integrated Pancreatic Cancer Pathway;Integrated Breast Cancer Pathway;MAPK Signaling Pathway;Senescence and Autophagy;Signaling Pathways in Glioblastoma"
"1072" "Cleft Palate" "Angiogenesis;One Carbon Metabolism;Regulation of Actin Cytoskeleton;Neural Crest Differentiation"
"1073" "Myopathies, Structural, Congenital" "Glycerophospholipid Biosynthetic Pathway"
