"pathway" "deceacelist"
"106" "ACE Inhibitor Pathway" "Atherosclerosis;Coronary Disease;Stomach Neoplasms;Brain Ischemia;Kidney Diseases;Hypertension, Pregnancy-Induced;Severe Acute Respiratory Syndrome;Diabetes Mellitus;Ischemia;Asthma;Anemia;Nephrosis;Rhinitis;Thrombophilia;Brain Infarction;Diabetic Angiopathies;Angina, Unstable;Coronary Thrombosis;Abortion, Habitual;Syndrome;Aortic Valve Stenosis;Sarcoidosis, Pulmonary;Camurati-Engelmann Syndrome;Nephrotic Syndrome;Heart Diseases;Hypertension;Diabetes Mellitus, Type 1;Berylliosis;Cardiovascular Diseases;Pneumonia, Viral;Pre-Eclampsia;Glomerulosclerosis, Focal Segmental;HYPERTENSION, ESSENTIAL;Vascular Diseases;Anuria;Hypertension, Malignant;Proteinuria;Retinopathy of Prematurity;Intracranial Aneurysm;Arteriosclerosis;Hypoglycemia;Anemia, Sickle Cell;Scleroderma, Systemic;Persistent Fetal Circulation Syndrome;Cardiomyopathy, Hypertrophic;Hyperglycemia;Abortion, Spontaneous;Angioedemas, Hereditary;Stomach Ulcer;Vesico-Ureteral Reflux;Dementia, Multi-Infarct;Penile Induration;Connective Tissue Diseases;Cerebral Arterial Diseases;Obstetric Labor, Premature;Gingival Overgrowth;Giardiasis;Epidermolysis Bullosa Acquisita;Diabetes Mellitus, Type 2;Kidney Failure, Chronic;Coronary Restenosis;Diabetic Nephropathies;Heart Failure;Hypertension, Pulmonary;Stroke;Metabolic Syndrome X;Aortic Aneurysm, Abdominal;Diabetic Retinopathy;Glomerulonephritis;Hernia, Hiatal;Carcinoma, Lobular;Respiratory Distress Syndrome, Adult;Hypercholesterolemia;Uremia;Migraine Disorders;Hyperhomocysteinemia;Adrenal Gland Neoplasms;GLUCOCORTICOID-REMEDIABLE ALDOSTERONISM;Mucocutaneous Lymph Node Syndrome;Migraine with Aura;Hypertension, Renovascular;Pneumonia, Pneumocystis;Coronary Stenosis;Nephrosclerosis;Cardiomyopathy, Alcoholic;Hepatopulmonary Syndrome;Adrenal Rest Tumor;Tracheal Stenosis;Liver Cirrhosis;Cardiomyopathy, Dilated;Glomerulonephritis, IGA;Myocardial Infarction;Myocardial Ischemia;Carotid Artery Diseases;Vasculitis;Hyperaldosteronism;Hypoaldosteronism;Hydronephrosis;Periodontitis;Polycythemia;Intestinal Perforation;Hypertension, Renal;Pulmonary Edema;Polycystic Kidney, Autosomal Dominant;Dementia, Vascular;Fibromuscular Dysplasia"
"107" "Nucleotide GPCRs" "Ischemia"
"108" "IL-3 Signaling Pathway" "Carcinoma, Ductal;Keratosis, Actinic;Colonic Neoplasms;Glioblastoma;Cholangiocarcinoma;Thrombocythemia, Essential;Paget Disease, Extramammary;LEOPARD Syndrome;Head and Neck Neoplasms;Lymphoma;Multiple Myeloma;Leukemia, Myeloid, Acute;Noonan Syndrome;Leukemia, Myelogenous, Chronic, BCR-ABL Positive;Leukemia;Cholesteatoma"
"109" "IL-9 Signaling Pathway" "Keratosis, Actinic;X-Linked Combined Immunodeficiency Diseases;Glioblastoma;Hepatitis C;Cholangiocarcinoma;Carcinoma, Mucoepidermoid;Paget Disease, Extramammary;Severe Combined Immunodeficiency;Head and Neck Neoplasms;Gastroesophageal Reflux;Noonan Syndrome;Melanoma;Cholesteatoma"
"110" "Integrin-mediated Cell Adhesion" "Noonan Syndrome"
"111" "Glutathione metabolism" "Anemia, Hemolytic;Raynaud Disease"
"112" "IL-4 Signaling Pathway" "Nephrosis, Lipoid;Hepatoblastoma;Lymphadenitis;Burkitt Lymphoma;Pancreatic Neoplasms;Colonic Neoplasms;Glioblastoma;Fetal Membranes, Premature Rupture;Food Hypersensitivity;Lymphoma;Multiple Myeloma;Tuberous Sclerosis;Conjunctivitis, Allergic;Leukemia, Myelogenous, Chronic, BCR-ABL Positive;Leukemia;Hodgkin Disease;Myeloproliferative Disorders"
"113" "Leptin signaling pathway" "PROSTATE CANCER;BLADDER CANCER;Urinary Bladder Neoplasms;Alexander Disease;Stomach Neoplasms;Obesity, Morbid;Thyroid Neoplasms;Uterine Neoplasms;Endometriosis;Rhabdomyosarcoma;Lymphadenitis;Lyme Neuroborreliosis;Keratosis, Actinic;Vaccinia;Ovarian Neoplasms;Carcinoma;Adenocarcinoma;Pancreatic Neoplasms;Colonic Neoplasms;Glioblastoma;Intestinal Neoplasms;Glioma;Hepatitis C;Scleroderma, Systemic;Cholangiocarcinoma;Thrombocythemia, Essential;Polycystic Kidney Diseases;Choriocarcinoma;BREAST CANCER;Breast Neoplasms;Polycythemia Vera;LEOPARD Syndrome;Lung Neoplasms;Carcinoma, Squamous Cell;Liver Neoplasms;Lymphoma;Multiple Myeloma;Osteosarcoma;Leiomyoma;Tuberous Sclerosis;Mycobacterium Infections;Silicosis;Ectodermal Dysplasia;OVARIAN CANCER;Prostatic Neoplasms;Leukemia, Myeloid, Acute;Noonan Syndrome;Melanoma;Leukemia, Myelogenous, Chronic, BCR-ABL Positive;Endometrial Neoplasms;Leukemia;Incontinentia Pigmenti;Lyme Disease"
"114" "Influenza A virus infection" ""
"115" "Interleukin-11 Signaling Pathway" "PROSTATE CANCER;BLADDER CANCER;Urinary Bladder Neoplasms;Stomach Neoplasms;Osteoporosis;Keratosis, Actinic;Ovarian Neoplasms;Pancreatic Neoplasms;Colonic Neoplasms;Glioblastoma;Glioma;Hepatitis C;Cholangiocarcinoma;Choriocarcinoma;Paget Disease, Extramammary;BREAST CANCER;Breast Neoplasms;LEOPARD Syndrome;Multiple Myeloma;Osteosarcoma;Tuberous Sclerosis;Mumps;OVARIAN CANCER;Prostatic Neoplasms;Noonan Syndrome;Melanoma;Leukemia, Myelogenous, Chronic, BCR-ABL Positive;Leukemia;Cholesteatoma"
"116" "DNA Damage Response" "Ataxia Telangiectasia;BLADDER CANCER;Urinary Bladder Neoplasms;Esophageal Neoplasms;Laryngeal Neoplasms;Pituitary Neoplasms;Hyperparathyroidism, Secondary;Meningeal Neoplasms;Hepatoblastoma;Carcinoma in Situ;Carcinoma, Verrucous;AIDS-Related Complex;Ovarian Neoplasms;Fanconi Anemia;Burkitt Lymphoma;Neuroblastoma;Adenocarcinoma;Colonic Neoplasms;Retinal Detachment;Glioblastoma;Intestinal Neoplasms;Glioma;Uterine Cervical Neoplasms;Mixed Tumor, Mullerian;Neuroma, Acoustic;Ganglioglioma;Adenoma, Pleomorphic;BREAST CANCER;Breast Neoplasms;Autoimmune Lymphoproliferative Syndrome;Werner Syndrome;Carcinoma, Squamous Cell;Carcinoma, Transitional Cell;Head and Neck Neoplasms;Carcinoma, Ductal, Breast;Lymphoma;Osteosarcoma;Cecal Neoplasms;Papilloma;Meningioma;Carcinosarcoma;Retinoblastoma;Multiple Endocrine Neoplasia;Medulloblastoma;Bloom Syndrome;OVARIAN CANCER;Melanoma;Leukemia, Myelogenous, Chronic, BCR-ABL Positive;Endometrial Neoplasms;Leukemia;Li-Fraumeni Syndrome;Nijmegen Breakage Syndrome"
"117" "Osteopontin Signaling" "Alzheimer Disease;PROSTATE CANCER;BLADDER CANCER;Urinary Bladder Neoplasms;Carcinoma, Renal Cell;Esophageal Neoplasms;Atherosclerosis;Stomach Neoplasms;Brain Ischemia;Mesothelioma;Multiple Sclerosis;Thyroid Neoplasms;Tuberculosis, Pulmonary;Endometriosis;Sagittal Sinus Thrombosis;Coronary Aneurysm;Angina, Unstable;Meningeal Neoplasms;Corneal Ulcer;Intermittent Claudication;Meningitis, Pneumococcal;Takayasu Arteritis;Lyme Neuroborreliosis;Keratosis, Actinic;Vaccinia;Ovarian Neoplasms;Thrombasthenia;Carcinoma;Adenocarcinoma;Pancreatic Neoplasms;Arthritis, Rheumatoid;Anuria;Colonic Neoplasms;Infarction, Middle Cerebral Artery;Glioblastoma;Glioma;Carcinoma, Adenoid Cystic;Diabetic Neuropathies;Scleroderma, Systemic;Pancreatitis, Chronic;Cholangiocarcinoma;Hyperglycemia;Aortic Diseases;Bone Neoplasms;Arterial Occlusive Diseases;Embolism, Cholesterol;Fetal Membranes, Premature Rupture;Trachoma;Pyelonephritis;Carcinoma, Mucoepidermoid;Synovitis, Pigmented Villonodular;Paget Disease, Extramammary;Rotavirus Infections;BREAST CANCER;Breast Neoplasms;Chondrosarcoma;Lung Neoplasms;Kidney Failure, Chronic;Carcinoma, Squamous Cell;Stroke;Carotid Stenosis;Carcinoma, Ductal, Breast;Lymphoma;Multiple Myeloma;Osteosarcoma;Leukemia-Lymphoma, Adult T-Cell;Pneumonia;Dermatitis;Tuberous Sclerosis;Meningioma;Mycobacterium Infections;Ectodermal Dysplasia;Giant Cell Arteritis;Hemorrhagic Fever with Renal Syndrome;Foot-and-Mouth Disease;Parotitis;OVARIAN CANCER;Prostatic Neoplasms;Melanoma;Myocardial Infarction;Calcinosis;Carotid Artery Diseases;Hodgkin Disease;Incontinentia Pigmenti;Carotid Artery Thrombosis;Brain Edema;Lyme Disease;Optic Neuritis;Cholesteatoma;Hyaline Membrane Disease"
"118" "One carbon donor" "Cleft Lip;Nervous System Diseases;Brain Ischemia;Spinal Cord Diseases;Ischemia;Congenital Abnormalities;Anemia;Huntington Disease;Rectal Neoplasms;Pulmonary Embolism;Glaucoma, Open-Angle;Spinal Dysraphism;Folic Acid Deficiency;Sinus Thrombosis, Intracranial;Thrombophilia;Diabetic Angiopathies;Placenta Diseases;Thyrotoxicosis;Abortion, Habitual;Neoplasms, Squamous Cell;Thrombophlebitis;Vitamin B 12 Deficiency;Eclampsia;Takayasu Arteritis;Lateral Sinus Thrombosis;Epilepsy;Neutropenia;Infertility, Male;Vascular Diseases;Proteinuria;Heart Defects, Congenital;Skin Diseases, Genetic;Thrombocytopenia;Arteriosclerosis;Anemia, Sickle Cell;Uterine Cervical Neoplasms;Arthritis;Glaucoma;Pancreatitis, Chronic;Cholangiocarcinoma;Hematologic Diseases;Hyperglycemia;Abortion, Spontaneous;Osteonecrosis;Intracranial Thrombosis;Puerperal Disorders;Hyperuricemia;Encephalomalacia;Chondrosarcoma;Clubfoot;Coronary Restenosis;Metabolic Syndrome X;Aortic Aneurysm, Abdominal;Diabetic Retinopathy;Skin Diseases;Hypersensitivity;Digestive System Neoplasms;Gastrointestinal Neoplasms;Hypercholesterolemia;Carotid Stenosis;Migraine Disorders;Hyperhomocysteinemia;Leukoencephalopathies;Cerebrovascular Disorders;Pregnancy Complications;Exfoliation Syndrome;Migraine with Aura;Leukemia, Myeloid;Blood Coagulation Disorders, Inherited;Glaucoma, Angle-Closure;Antiphospholipid Syndrome;Leukemia, Myelogenous, Chronic, BCR-ABL Positive;Carotid Artery Diseases;Lymphoma, Follicular;Bile Duct Neoplasms;Optic Neuropathy, Ischemic;Pregnancy Complications, Hematologic;Gastritis, Atrophic;Foramen Ovale, Patent"
"119" "miR-targeted genes in squamous cell - TarBase" ""
"120" "Gastric cancer network 2" "Carcinoma, Adenosquamous;Carcinoma, Verrucous;Thymus Neoplasms;Adenocarcinoma, Papillary;Phyllodes Tumor;Papilloma, Inverted;Cecal Neoplasms"
"121" "TSLP Signaling Pathway" "Alexander Disease;Stomach Neoplasms;Colitis, Ulcerative;HIV-Associated Lipodystrophy Syndrome;Leukemia, Lymphoid;Carcinoma, Ductal;Vaginal Diseases;Lyme Neuroborreliosis;Vaccinia;Ovarian Neoplasms;Burkitt Lymphoma;Pancreatic Neoplasms;Colonic Neoplasms;Glioblastoma;Glioma;Hepatitis C;Scleroderma, Systemic;Cholangiocarcinoma;Hyperglycemia;Fetal Membranes, Premature Rupture;Sjogren's Syndrome;Choriocarcinoma;Aneurysm;Paget Disease, Extramammary;BREAST CANCER;Breast Neoplasms;AGAMMAGLOBULINEMIA, X-LINKED;Head and Neck Neoplasms;Lymphoma;Multiple Myeloma;Osteosarcoma;BILIARY CIRRHOSIS, PRIMARY, 1;Barrett Esophagus;Pneumonia;Gastroesophageal Reflux;Tuberous Sclerosis;OVARIAN CANCER;Leukemia, Myeloid, Acute;Noonan Syndrome;Melanoma;Leukemia, Myelogenous, Chronic, BCR-ABL Positive;Leukemia;Liver Cirrhosis, Biliary;Hodgkin Disease;Hepatitis B;Mastocytosis, Systemic;Lyme Disease"
"122" "DNA Replication" ""
"123" "Oxidative Stress" "Anemia, Hemolytic;Hypertension;Parkinson Disease;Carotid Artery Diseases;Phobic Disorders;Pulmonary Disease, Chronic Obstructive"
"124" "Cytoplasmic Ribosomal Proteins" "Anemia, Diamond-Blackfan"
"125" "RANKL/RANK Signaling Pathway" "Alexander Disease;Osteoporosis;Osteopetrosis;Vaccinia;Osteitis Deformans;Carcinoma;Arthritis, Rheumatoid;Glioblastoma;Glioma;Paget Disease, Extramammary;BREAST CANCER;Breast Neoplasms;Lymphoma;Multiple Myeloma;Osteosarcoma;Hypercalcemia;Tuberous Sclerosis;Ectodermal Dysplasia;Melanoma;Leukemia;Incontinentia Pigmenti;Periapical Granuloma"
"126" "Notch Signaling Pathway" "Leukemia, T-Cell"
"127" "One Carbon Metabolism" "Cleft Lip;Nervous System Diseases;Spinal Dysraphism;Folic Acid Deficiency;Vitamin B 12 Deficiency;Abortion, Spontaneous;Cleft Palate;Hyperhomocysteinemia;Leukoencephalopathies;Amino Acid Metabolism, Inborn Errors;Anemia, Megaloblastic"
"128" "miR-targeted genes in lymphocytes - TarBase" ""
"129" "Gastric cancer network 1" ""
"130" "G1 to S cell cycle control" "Ataxia Telangiectasia;Pituitary Neoplasms;Adenoma;Mesothelioma;Hyperparathyroidism, Secondary;Meningeal Neoplasms;Hepatoblastoma;Carcinoma in Situ;Nerve Sheath Neoplasms;Carcinoma, Verrucous;Keratosis, Actinic;Ovarian Neoplasms;Intestinal Neoplasms;Glioma;Uterine Cervical Neoplasms;Histiocytoma, Benign Fibrous;Mixed Tumor, Mullerian;Neuroma, Acoustic;Rhabdoid Tumor;Ganglioglioma;Adenoma, Pleomorphic;Keratoacanthoma;Neurofibromatoses;Neurofibromatosis 1;Carcinoma, Transitional Cell;Lymphoma;Osteosarcoma;Cecal Neoplasms;Papilloma;Meningioma;Carcinosarcoma;Retinoblastoma;Multiple Endocrine Neoplasia;AIDS Dementia Complex;PANCREATIC CANCER;MESOTHELIOMA, MALIGNANT;Peripheral Nervous System Neoplasms;Medulloblastoma;OVARIAN CANCER;Neurofibromatosis 2;Leukemia;Lymphoma, Follicular;Liposarcoma;Li-Fraumeni Syndrome"
"131" "Cardiac Progenitor Differentiation" "Neoplasms, Germ Cell and Embryonal;MYELOFIBROSIS;Rhabdomyosarcoma;Cardiomyopathy, Hypertrophic, Familial;Heart Diseases;Primary Myelofibrosis;Cardiomyopathy, Hypertrophic;Sick Sinus Syndrome;Heart Failure;Heart Septal Defects, Atrial;Refractive Errors;Hernia, Hiatal;Sarcoma, Clear Cell;Myocardial Ischemia"
"132" "Diclofenac Metabolic Pathway" ""
"133" "Cell Cycle" "Ataxia Telangiectasia;Pituitary Neoplasms;Ganglioglioma;Retinoblastoma;Multiple Endocrine Neoplasia;Li-Fraumeni Syndrome"
"134" "TOR Signaling" "Heart Neoplasms;Tuberous Sclerosis"
"135" "MicroRNAs in cardiomyocyte hypertrophy" "Glioma;Heart Failure;Hernia, Hiatal;Cholesteatoma"
"136" "Sulfation Biotransformation Reaction" ""
"137" "Insulin Signaling" "Hyperglycemia;LEOPARD Syndrome;Tuberous Sclerosis;Noonan Syndrome"
"138" "Urea cycle and metabolism of amino groups" "Argininosuccinic Aciduria;Hyperargininemia;Carbamoyl-Phosphate Synthase I Deficiency Disease;Ornithine Carbamoyltransferase Deficiency Disease;Gyrate Atrophy"
"139" "Osteoclast Signaling" "Osteoporosis;Osteopetrosis;Aortic Valve Stenosis;Osteitis Deformans;Multiple Myeloma;Osteosarcoma;Hypercalcemia;Bone Diseases;Periapical Granuloma"
"140" "Nifedipine Activity" "Osteoporosis"
"141" "Peroxisomal beta-oxidation of tetracosanoyl-CoA" "Peroxisomal Disorders;Dystonia;Leukoencephalopathies;Polyneuropathies"
"142" "Pentose Phosphate Pathway" "Hydrops Fetalis;Granulomatous Disease, Chronic;Favism;Hyperbilirubinemia;Phagocyte Bactericidal Dysfunction;Anemia, Hemolytic, Congenital Nonspherocytic;Hemoglobinopathies;Rickets;Anemia, Hemolytic, Congenital;Thalassemia;Glucosephosphate Dehydrogenase Deficiency"
"143" "Wnt Signaling Pathway" ""
"144" "Myometrial Relaxation and Contraction Pathways" ""
"145" "Selenium Metabolism and Selenoproteins" "Fibrous Dysplasia, Polyostotic;Fibrous Dysplasia of Bone"
"146" "Peptide GPCRs" "Status Epilepticus;Adrenal Gland Neoplasms;Adrenal Rest Tumor"
"147" "Oncostatin M Signaling Pathway" "PROSTATE CANCER;BLADDER CANCER;Urinary Bladder Neoplasms;Alexander Disease;Carcinoma, Renal Cell;Nervous System Diseases;Atherosclerosis;Stomach Neoplasms;Brain Ischemia;Heart Valve Diseases;Skin Neoplasms;Mesothelioma;Rectal Neoplasms;Thyroid Neoplasms;Uterine Neoplasms;Endometriosis;Chordoma;MYELOFIBROSIS;Rhabdomyosarcoma;Hepatoblastoma;Adrenal Cortex Neoplasms;Carcinoma, Ductal;Lyme Neuroborreliosis;Keratosis, Actinic;Cheilitis;Vaccinia;Osteochondritis Dissecans;Ovarian Neoplasms;Burkitt Lymphoma;Carcinoma;Neurotoxicity Syndromes;Status Epilepticus;Adenocarcinoma;Pancreatic Neoplasms;Arthritis, Rheumatoid;Glomerulonephritis, Membranous;Colonic Neoplasms;Glioblastoma;Glioma;Small Cell Lung Carcinoma;Adenocarcinoma, Clear Cell;Diabetic Neuropathies;Uterine Cervical Neoplasms;Hepatitis C;Scleroderma, Systemic;Cholangiocarcinoma;Primary Myelofibrosis;Hyperglycemia;Thrombocythemia, Essential;Stomach Ulcer;Osteonecrosis;Neuroma, Acoustic;Adenocarcinoma, Papillary;Phyllodes Tumor;Giant Cell Tumors;Choriocarcinoma;Paget Disease, Extramammary;BREAST CANCER;Breast Neoplasms;Chondrosarcoma;LEOPARD Syndrome;Lung Neoplasms;Carcinoma, Squamous Cell;Liver Neoplasms;Coronary Restenosis;Heart Failure;Liver Diseases;Diabetic Retinopathy;Head and Neck Neoplasms;Lymphoma;Multiple Myeloma;Osteosarcoma;Hyperhomocysteinemia;Cecal Neoplasms;Brain Neoplasms;Oral Submucous Fibrosis;Pneumonia;Hemangiosarcoma;Leiomyoma;Penile Neoplasms;Tuberous Sclerosis;Infertility;Retinoblastoma;Multiple Endocrine Neoplasia;Adenocarcinoma, Mucinous;PANCREATIC CANCER;Hepatopulmonary Syndrome;Thromboangiitis Obliterans;OVARIAN CANCER;Prostatic Neoplasms;Leukemia, Myeloid, Acute;Noonan Syndrome;Liver Cirrhosis;Melanoma;Leukemia, Myelogenous, Chronic, BCR-ABL Positive;Carcinoma, Non-Small-Cell Lung;Endometrial Neoplasms;Leukemia;Kidney Neoplasms;Hodgkin Disease;Hepatitis B;Retinal Vein Occlusion;Myeloproliferative Disorders;Lyme Disease;Neurilemmoma;Cholesteatoma"
"148" "Spinal Cord Injury" "Alzheimer Disease;BLADDER CANCER;Urinary Bladder Neoplasms;Lupus Erythematosus, Systemic;Esophageal Neoplasms;Nervous System Diseases;Atherosclerosis;Coronary Disease;Stomach Neoplasms;Brain Ischemia;Kidney Diseases;Meningococcal Infections;Hypertension, Pregnancy-Induced;Spinal Cord Diseases;Laryngeal Neoplasms;Ischemia;Asthma;Anemia;Pituitary Neoplasms;Skin Neoplasms;Hepatitis, Autoimmune;Amyotrophic Lateral Sclerosis;Spondylitis, Ankylosing;Osteoporosis;Rectal Neoplasms;Multiple Sclerosis;Colitis, Ulcerative;Neoplasms, Basal Cell;Myocardial Stunning;Hypertension, Portal;Celiac Disease;Soft Tissue Neoplasms;Epilepsy, Temporal Lobe;Dermatomyositis;Pemphigus;Mycoplasma Infections;Tuberculosis, Pulmonary;Endometriosis;Rhinitis;Dengue Hemorrhagic Fever;Hyperparathyroidism, Secondary;Leishmaniasis;Cystitis, Interstitial;Coronary Aneurysm;Enterocolitis, Necrotizing;Behcet Syndrome;Hepatitis, Chronic;Leishmaniasis, Mucocutaneous;Angina, Unstable;HIV-Associated Lipodystrophy Syndrome;Leukemia, Lymphoid;Meningeal Neoplasms;Bronchial Diseases;Schistosomiasis mansoni;Carcinoma in Situ;Bacterial Infections;Fibroadenoma;Bronchiolitis;Rheumatic Heart Disease;Carcinoma, Adenosquamous;Meningitis, Pneumococcal;Angiomyolipoma;Scleroderma, Limited;Pneumoconiosis;Otitis Media with Effusion;Gingivitis;Vaginal Diseases;Burning Mouth Syndrome;Lymphadenitis;Bacteriuria;Lyme Neuroborreliosis;Carcinoma, Verrucous;Keratosis, Actinic;Stomatitis, Aphthous;Hypoxia-Ischemia, Brain;Polychondritis, Relapsing;Ovarian Neoplasms;Fabry Disease;Nephrotic Syndrome;Burkitt Lymphoma;Status Epilepticus;Diabetes Mellitus, Type 1;Pancreatic Neoplasms;Berylliosis;Pre-Eclampsia;Purpura, Thrombocytopenic, Idiopathic;Vascular Diseases;Arthritis, Rheumatoid;Anorexia Nervosa;Sarcoidosis;Retinal Detachment;Glioblastoma;Intestinal Neoplasms;Glioma;Multiple Sclerosis, Relapsing-Remitting;Amnesia;Carcinoma, Adenoid Cystic;Neuromyelitis Optica;Chondrosarcoma, Mesenchymal;Uterine Cervical Neoplasms;Hepatitis C;Scleroderma, Systemic;Arthritis;Glaucoma;Pancreatitis, Chronic;Malaria, Falciparum;Leishmaniasis, Visceral;Myocarditis;Alopecia Areata;Polymyositis;Cholangiocarcinoma;Hyperglycemia;Appendicitis;Bronchiolitis Obliterans;MERRF Syndrome;Astrocytoma;Stomach Ulcer;Cerebral Palsy;Dementia, Multi-Infarct;Fetal Membranes, Premature Rupture;Penile Induration;Sjogren's Syndrome;Rheumatic Fever;Malaria, Cerebral;Guillain-Barre Syndrome;Neuroma, Acoustic;Thymus Neoplasms;Respiratory Syncytial Virus Infections;Chlamydophila Infections;Obstetric Labor, Premature;Vaginosis, Bacterial;Polymyalgia Rheumatica;Common Cold;Adenocarcinoma, Papillary;Phyllodes Tumor;Trachoma;Pyelonephritis;Cryoglobulinemia;Lymphohistiocytosis, Hemophagocytic;Carcinoma, Mucoepidermoid;Papilloma, Inverted;Aneurysm;Thyroid Nodule;BREAST CANCER;Breast Neoplasms;Aggressive Periodontitis;Lung Neoplasms;Kidney Failure, Chronic;Liver Neoplasms;Coronary Restenosis;Diabetic Nephropathies;Heart Failure;Hypertension, Pulmonary;Stroke;Liver Diseases;Diabetes, Gestational;Aortic Aneurysm, Abdominal;Diabetic Retinopathy;Glomerulonephritis;Hernia, Hiatal;Hypersensitivity;Nephritis;Respiratory Distress Syndrome, Adult;Carcinoma, Transitional Cell;Stomach Diseases;Head and Neck Neoplasms;Carcinoma, Basal Cell;Dermatitis, Atopic;Lymphoma;Multiple Myeloma;Osteosarcoma;Pulmonary Fibrosis;Parkinson Disease;Keratosis;Leishmaniasis, Cutaneous;Cecal Neoplasms;Papilloma;Malaria;BILIARY CIRRHOSIS, PRIMARY, 1;Myasthenia Gravis;Pancreatitis;Oral Submucous Fibrosis;Fatty Liver;Fatty Liver, Alcoholic;Pneumonia;Stomatitis;Peptic Ulcer;Leiomyoma;Encephalitis;Mucocutaneous Lymph Node Syndrome;Acquired Immunodeficiency Syndrome;Dermatitis, Allergic Contact;Tuberous Sclerosis;Kearns-Sayre Syndrome;Mitochondrial Myopathies;Sarcoma, Kaposi;Meningioma;Schistosomiasis japonica;Eye Diseases;Retinoblastoma;Mycobacterium Infections;Pneumococcal Infections;Gastritis;Silicosis;Fibromyalgia;Subacute Sclerosing Panencephalitis;Giant Cell Arteritis;Brucellosis;Scleroderma, Diffuse;Pemphigoid, Benign Mucous Membrane;Hepatitis E;Meningitis, Viral;Keratoconjunctivitis Sicca;Pseudoxanthoma Elasticum;OVARIAN CANCER;Cystic Fibrosis;Liver Cirrhosis;Melanoma;Glomerulonephritis, IGA;Myocardial Infarction;Carcinoma, Non-Small-Cell Lung;Cerebral Infarction;Calcinosis;Endometrial Neoplasms;Carotid Artery Diseases;Leukemia;Neuroendocrine Tumors;Liver Cirrhosis, Biliary;Pulmonary Disease, Chronic Obstructive;Helicobacter Infections;Hodgkin Disease;Dermatitis, Contact;Hepatitis B;Oligodendroglioma;Periodontitis;Legionnaires' Disease;Demyelinating Diseases;Myositis;HIV Wasting Syndrome;Pemphigoid, Bullous;Brain Edema;Dementia, Vascular;Paraparesis, Tropical Spastic;Gastritis, Atrophic;Uveitis, Anterior;Histiocytosis, Langerhans-Cell;Influenza, Human;Pleural Effusion, Malignant;Lyme Disease;Boutonneuse Fever;Cholesteatoma"
"149" "G Protein Signaling Pathways" ""
"150" "Translation Factors" ""
"151" "Prostaglandin Synthesis and Regulation" "Asthma;Stomach Ulcer;Polycystic Kidney Diseases;Carcinoma, Medullary;Ductus Arteriosus, Patent"
"152" "Arylamine metabolism" "Urologic Neoplasms"
"153" "Apoptosis Modulation by HSP70" "Familial Mediterranean Fever;Esophageal Neoplasms;Nervous System Diseases;Stomach Neoplasms;Anemia;Skin Neoplasms;Seminoma;Cardiovirus Infections;Malaria, Vivax;Adenocarcinoma;Colonic Neoplasms;Retinal Detachment;Uterine Cervical Neoplasms;Glaucoma;Hypersplenism;Fetal Membranes, Premature Rupture;Lipodystrophy;Guillain-Barre Syndrome;Dermatitis, Irritant;Still's Disease, Adult-Onset;Hantavirus Infections;Autoimmune Lymphoproliferative Syndrome;Lung Neoplasms;Lymphoma;Parkinson Disease;Leishmaniasis, Cutaneous;Graves Disease;Acquired Immunodeficiency Syndrome;HELLP Syndrome;Silicosis;Anaplasmosis;Melanoma;Leukemia;Hodgkin Disease;Hepatitis B;Lymphoproliferative Disorders;Uveitis, Anterior;Histiocytosis, Langerhans-Cell;Encephalomyelitis;Hyaline Membrane Disease"
